sentence,correct,wrong,sin s,plu s,structure,prediction,accuracy,correct_prob,wrong_prob,top predict,top 5 predict,top 5 prob,top is correct,top is wrong,correct in top 5,wrong in top 5
The director who has been reviewed by critics [MASK] been mediocre.,has,have,1,0,p.p./adj,correct,1,tensor(0.9650),tensor(0.0017),has,"['has', 'had', 'have', ',', 'is']","[tensor(0.9650), tensor(0.0303), tensor(0.0017), tensor(0.0004), tensor(0.0003)]",1,0,1,1
The directors who have been reviewed by the critic [MASK] been mediocre.,have,has,0,1,p.p./adj,correct,1,tensor(0.9735),tensor(0.0099),have,"['have', 'had', 'has', 'are', 'also']","[tensor(0.9735), tensor(0.0111), tensor(0.0099), tensor(0.0009), tensor(0.0003)]",1,0,1,1
The dancer who has been on stages [MASK] been charismatic.,has,have,1,0,prep./adj,correct,1,tensor(0.9823),tensor(0.0041),has,"['has', 'had', 'have', 'is', 'also']","[tensor(0.9823), tensor(0.0074), tensor(0.0041), tensor(0.0009), tensor(0.0008)]",1,0,1,1
The dancers who have been on the stage [MASK] been charismatic.,have,has,0,1,prep./adj,correct,1,tensor(0.9732),tensor(0.0154),have,"['have', 'has', 'had', 'also', 'are']","[tensor(0.9732), tensor(0.0154), tensor(0.0072), tensor(0.0006), tensor(0.0004)]",1,0,1,1
The fish which has swum throught the gates [MASK] been beautiful.,has,have,1,0,v/adj,correct,1,tensor(0.9005),tensor(0.0666),has,"['has', 'have', 'had', 'is', ',']","[tensor(0.9005), tensor(0.0666), tensor(0.0287), tensor(0.0006), tensor(0.0004)]",1,0,1,1
The fish which have swum throught the gate [MASK] been beautiful.,have,has,0,1,v/adj,correct,1,tensor(0.7901),tensor(0.1889),have,"['have', 'has', 'had', 'Have', ',']","[tensor(0.7901), tensor(0.1889), tensor(0.0147), tensor(0.0007), tensor(0.0005)]",1,0,1,1
The actress who has been interviewed by reporters [MASK] been confident.,has,have,1,0,p.p./ving,correct,1,tensor(0.9248),tensor(0.0058),has,"['has', 'had', 'have', 'is', 'also']","[tensor(0.9248), tensor(0.0608), tensor(0.0058), tensor(0.0014), tensor(0.0007)]",1,0,1,1
The actresses who have been interviewed by the reporter [MASK] been confident.,have,has,0,1,p.p./ving,correct,1,tensor(0.9277),tensor(0.0235),have,"['have', 'had', 'has', 'also', 'are']","[tensor(0.9277), tensor(0.0426), tensor(0.0235), tensor(0.0007), tensor(0.0005)]",1,0,1,1
The child who has been in laboratories [MASK] been enthusiastic.,has,have,1,0,prep./ving,correct,1,tensor(0.8493),tensor(0.0019),has,"['has', 'had', 'have', ',', 'is']","[tensor(0.8493), tensor(0.1404), tensor(0.0019), tensor(0.0010), tensor(0.0007)]",1,0,1,1
The children who have been in laboratory [MASK] been enthusiastic.,have,has,0,1,prep./ving,correct,1,tensor(0.8073),tensor(0.0793),have,"['have', 'has', 'had', 'work', 'are']","[tensor(0.8073), tensor(0.0793), tensor(0.0765), tensor(0.0021), tensor(0.0017)]",1,0,1,1
The nurse who has helped with newborns [MASK] been joyful.,has,have,1,0,v/ving,correct,1,tensor(0.9333),tensor(0.0032),has,"['has', 'had', 'have', 'is', ',']","[tensor(0.9333), tensor(0.0601), tensor(0.0032), tensor(0.0005), tensor(0.0004)]",1,0,1,1
The nurses who have helped with the newborn [MASK] been joyful.,have,has,0,1,v/ving,correct,1,tensor(0.9602),tensor(0.0174),have,"['have', 'had', 'has', ',', 'also']","[tensor(0.9602), tensor(0.0199), tensor(0.0174), tensor(0.0003), tensor(0.0002)]",1,0,1,1
The woman who has been at parks [MASK] been surrounded by birds.,has,have,1,0,prep./p.p.,correct,1,tensor(0.9038),tensor(0.0031),has,"['has', 'had', 'and', ',', 'have']","[tensor(0.9038), tensor(0.0767), tensor(0.0057), tensor(0.0032), tensor(0.0031)]",1,0,1,1
The women who have been at the park [MASK] been surrounded by birds.,have,has,0,1,prep./p.p.,correct,1,tensor(0.9585),tensor(0.0090),have,"['have', 'had', 'has', ',', 'also']","[tensor(0.9585), tensor(0.0295), tensor(0.0090), tensor(0.0003), tensor(0.0003)]",1,0,1,1
The Japanese who has witnessed the crimes [MASK] been taken two lawyers to provide statements.,has,have,1,0,v/p.p.,correct,1,tensor(0.8383),tensor(0.1068),has,"['has', 'have', 'had', 'is', ',']","[tensor(0.8383), tensor(0.1068), tensor(0.0504), tensor(0.0004), tensor(0.0003)]",1,0,1,1
The Japanese who have witnessed a crime [MASK] been taken by a lawyer to provide a statement.,have,has,0,1,v/p.p.,correct,1,tensor(0.9329),tensor(0.0241),have,"['have', 'had', 'has', 'are', 'also']","[tensor(0.9329), tensor(0.0260), tensor(0.0241), tensor(0.0054), tensor(0.0013)]",1,0,1,1
The celebrity who has adopted puppies [MASK] been on the news.,has,have,1,0,v/prep.,correct,1,tensor(0.9488),tensor(0.0065),has,"['has', 'had', 'have', 'is', 'also']","[tensor(0.9488), tensor(0.0404), tensor(0.0065), tensor(0.0006), tensor(0.0004)]",1,0,1,1
The celebrities who have adopted a puppy [MASK] been on the news.,have,has,0,1,v/prep.,correct,1,tensor(0.9288),tensor(0.0486),have,"['have', 'has', 'had', 'also', 'are']","[tensor(0.9288), tensor(0.0486), tensor(0.0179), tensor(0.0010), tensor(0.0004)]",1,0,1,1
