sentence,correct,wrong,sin s,plu s,structure,prediction,accuracy,correct_prob,wrong_prob,top predict,top 5 predict,top 5 prob,top is correct,top is wrong,correct in top 5,wrong in top 5
The chef who is near the journalist [MASK] deliciously.,cooks,cook,1,0,prep./v,wrong,0,tensor(1.1367e-05),tensor(5.1985e-05),smiles,"['smiles', 'laughs', 'eats', 'grins', 'smells']","[tensor(0.4283), tensor(0.1239), tensor(0.0957), tensor(0.0523), tensor(0.0271)]",0,0,0,0
The chefs who are near the journalists [MASK] deliciously.,cook,cooks,0,1,prep./v,correct,1,tensor(0.0376),tensor(6.6702e-06),eat,"['eat', 'laugh', 'smile', 'cook', 'chuckle']","[tensor(0.2370), tensor(0.1800), tensor(0.0984), tensor(0.0376), tensor(0.0244)]",0,0,1,0
The man who is fixing the car for their neighbor [MASK] an engineer.,is,are,1,0,ving/N,correct,1,tensor(0.9684),tensor(0.0002),is,"['is', 'was', ',', 'becomes', 'has']","[tensor(0.9684), tensor(0.0200), tensor(0.0030), tensor(0.0021), tensor(0.0009)]",1,0,1,0
The men who are fixing the car for neighbors [MASK] an engineers.,are,is,0,1,ving/N,correct,1,tensor(0.4862),tensor(0.0177),are,"['are', 'and', 'have', 'hire', 'is']","[tensor(0.4862), tensor(0.0475), tensor(0.0441), tensor(0.0324), tensor(0.0177)]",1,0,1,1
The musician who is celebrated by the audience [MASK] a virtuoso.,is,are,1,0,p.p./N,correct,1,tensor(0.8242),tensor(0.0004),is,"['is', 'as', 'becomes', 'was', ',']","[tensor(0.8242), tensor(0.1326), tensor(0.0166), tensor(0.0086), tensor(0.0014)]",1,0,1,0
The musicians who are celebrated by audiences [MASK] virtuosos.,are,is,0,1,p.p./N,correct,1,tensor(0.9295),tensor(0.0028),are,"['are', 'include', 'were', 'as', 'is']","[tensor(0.9295), tensor(0.0261), tensor(0.0110), tensor(0.0038), tensor(0.0028)]",1,0,1,1
The researcher who is making the headline [MASK] a Nobel laureate.,is,are,1,0,prep./N,correct,1,tensor(0.9714),tensor(0.0002),is,"['is', 'was', 'becomes', ',', 'has']","[tensor(0.9714), tensor(0.0108), tensor(0.0062), tensor(0.0011), tensor(0.0009)]",1,0,1,0
The researchers who are making headlines [MASK] Nobel laureates.,are,is,0,1,prep./N,correct,1,tensor(0.9272),tensor(0.0007),are,"['are', 'include', 'were', 'become', 'have']","[tensor(0.9272), tensor(0.0330), tensor(0.0154), tensor(0.0042), tensor(0.0023)]",1,0,1,0
The student who forgets the assignment [MASK] a procrastinator.,is,are,1,0,v/N,correct,1,tensor(0.5616),tensor(0.0003),is,"['is', 'becomes', 'became', 'was', 'has']","[tensor(0.5616), tensor(0.3900), tensor(0.0078), tensor(0.0076), tensor(0.0029)]",1,0,1,0
The students who forget the assignments [MASK] procrastinators.,are,is,0,1,v/N,correct,1,tensor(0.6542),tensor(0.0010),are,"['are', 'become', 'became', 'were', 'as']","[tensor(0.6542), tensor(0.3006), tensor(0.0108), tensor(0.0056), tensor(0.0031)]",1,0,1,0
The artist who is painting a portrait for the person [MASK] talented.,is,are,1,0,ving/adj,correct,1,tensor(0.9214),tensor(0.0021),is,"['is', 'becomes', 'most', 'was', 'being']","[tensor(0.9214), tensor(0.0142), tensor(0.0109), tensor(0.0062), tensor(0.0050)]",1,0,1,0
The artists who are painting portraits people [MASK] talented.,are,is,0,1,ving/adj,correct,1,tensor(0.6424),tensor(0.0260),are,"['are', 'very', 'is', 'more', 'become']","[tensor(0.6424), tensor(0.1124), tensor(0.0260), tensor(0.0137), tensor(0.0137)]",1,0,1,1
The director who is reviewed by the critic [MASK] mediocre.,is,are,1,0,p.p./adj,correct,1,tensor(0.9236),tensor(0.0023),is,"['is', 'was', 'as', 'becomes', 'seems']","[tensor(0.9236), tensor(0.0437), tensor(0.0041), tensor(0.0032), tensor(0.0026)]",1,0,1,0
The directors who are reviewed by critics [MASK] mediocre.,are,is,0,1,p.p./adj,correct,1,tensor(0.9266),tensor(0.0080),are,"['are', 'were', 'is', 'as', 'remain']","[tensor(0.9266), tensor(0.0414), tensor(0.0080), tensor(0.0047), tensor(0.0030)]",1,0,1,1
The dancer who is on the stage [MASK] charismatic.,is,are,1,0,prep./adj,correct,1,tensor(0.9449),tensor(0.0020),is,"['is', 'was', 'becomes', 'looks', 'seems']","[tensor(0.9449), tensor(0.0123), tensor(0.0098), tensor(0.0080), tensor(0.0033)]",1,0,1,0
The dancers who are on stages [MASK] charismatic.,are,is,0,1,prep./adj,correct,1,tensor(0.9475),tensor(0.0120),are,"['are', 'is', 'were', 'look', 'become']","[tensor(0.9475), tensor(0.0120), tensor(0.0082), tensor(0.0063), tensor(0.0035)]",1,0,1,1
The fish which swims throught the gate [MASK] beautiful.,is,are,1,0,v/adj,correct,1,tensor(0.8361),tensor(0.0539),is,"['is', 'was', 'are', 'looks', 'were']","[tensor(0.8361), tensor(0.0585), tensor(0.0539), tensor(0.0106), tensor(0.0075)]",1,0,1,1
The fish which swim throught the gates [MASK] beautiful.,are,is,0,1,v/adj,correct,1,tensor(0.5873),tensor(0.3080),are,"['are', 'is', 'were', 'was', 'look']","[tensor(0.5873), tensor(0.3080), tensor(0.0437), tensor(0.0222), tensor(0.0060)]",1,0,1,1
The actress who is interviewed by the reporter [MASK] confident.,is,are,1,0,p.p./ving,correct,1,tensor(0.6213),tensor(0.0017),is,"['is', 'feels', 'seems', 'becomes', 'was']","[tensor(0.6213), tensor(0.1205), tensor(0.0594), tensor(0.0414), tensor(0.0373)]",1,0,1,0
The actresses who are interviewed by reporters [MASK] confident.,are,is,0,1,p.p./ving,correct,1,tensor(0.7000),tensor(0.0107),are,"['are', 'feel', 'look', 'remain', 'seem']","[tensor(0.7000), tensor(0.0754), tensor(0.0319), tensor(0.0285), tensor(0.0279)]",1,0,1,0
The child who is in laboratory [MASK] enthusiastic.,is,are,1,0,prep./ving,correct,1,tensor(0.7663),tensor(0.0014),is,"['is', 'becomes', 'gets', 'was', 'grows']","[tensor(0.7663), tensor(0.0774), tensor(0.0363), tensor(0.0212), tensor(0.0176)]",1,0,1,0
The children who are in laboratories [MASK] enthusiastic.,are,is,0,1,prep./ving,correct,1,tensor(0.8699),tensor(0.0092),are,"['are', 'were', 'become', 'get', 'is']","[tensor(0.8699), tensor(0.0434), tensor(0.0194), tensor(0.0187), tensor(0.0092)]",1,0,1,1
The nurse who helps with the newborn [MASK] joyful.,is,are,1,0,v/ving,correct,1,tensor(0.8766),tensor(0.0020),is,"['is', 'becomes', 'was', 'feels', 'seems']","[tensor(0.8766), tensor(0.0315), tensor(0.0236), tensor(0.0130), tensor(0.0122)]",1,0,1,0
The nurses who help with newborns [MASK] joyful.,are,is,0,1,v/ving,correct,1,tensor(0.8871),tensor(0.0157),are,"['are', 'were', 'is', 'feel', 'become']","[tensor(0.8871), tensor(0.0338), tensor(0.0157), tensor(0.0148), tensor(0.0090)]",1,0,1,1
The woman who is at the park [MASK] surrounded by birds.,is,are,1,0,prep./p.p.,correct,1,tensor(0.9313),tensor(0.0014),is,"['is', 'was', ',', 'gets', 'becomes']","[tensor(0.9313), tensor(0.0376), tensor(0.0068), tensor(0.0033), tensor(0.0033)]",1,0,1,0
The women who are at parks [MASK] surrounded by birds.,are,is,0,1,prep./p.p.,correct,1,tensor(0.9456),tensor(0.0052),are,"['are', 'were', 'is', 'get', ',']","[tensor(0.9456), tensor(0.0181), tensor(0.0052), tensor(0.0050), tensor(0.0034)]",1,0,1,1
The Japanese who witnesses a crime [MASK] taken two lawyers to provide statements.,is,are,1,0,v/p.p.,correct,1,tensor(0.0018),tensor(0.0002),has,"['has', 'have', 'had', 'is', 'also']","[tensor(0.8892), tensor(0.0544), tensor(0.0518), tensor(0.0018), tensor(0.0003)]",0,0,1,0
The Japanese who witness the crimes [MASK] taken by a lawyer to provide a statement.,are,is,0,1,v/p.p.,correct,1,tensor(0.8111),tensor(0.1399),are,"['are', 'is', 'were', 'was', 'have']","[tensor(0.8111), tensor(0.1399), tensor(0.0324), tensor(0.0114), tensor(0.0010)]",1,0,1,1
The celebrity who adopts a puppy [MASK] on the news.,is,are,1,0,v/prep.,correct,1,tensor(0.5123),tensor(0.0015),is,"['is', 'appears', 'was', 'goes', 'appeared']","[tensor(0.5123), tensor(0.2076), tensor(0.0581), tensor(0.0425), tensor(0.0221)]",1,0,1,0
The celebrities who adopt puppies [MASK] on the news.,are,is,0,1,v/prep.,correct,1,tensor(0.3339),tensor(0.0037),are,"['are', 'live', 'appear', 'go', 'were']","[tensor(0.3339), tensor(0.1445), tensor(0.1156), tensor(0.0424), tensor(0.0324)]",1,0,1,0
