sentence,correct,wrong,sin s,plu s,structure,prediction,accuracy,correct_prob,wrong_prob,top predict,top 5 predict,top 5 prob,top is correct,top is wrong,correct in top 5,wrong in top 5
The directors who are reviewed by the critic [MASK] mediocre.,are,is,0,1,p.p./adj,correct,1,tensor(0.9381),tensor(0.0089),are,"['are', 'were', 'is', 'remain', 'appear']","[tensor(0.9381), tensor(0.0262), tensor(0.0089), tensor(0.0035), tensor(0.0030)]",1,0,1,1
The dancer who is on stages [MASK] charismatic.,is,are,1,0,prep./adj,correct,1,tensor(0.9569),tensor(0.0036),is,"['is', 'was', 'becomes', 'are', 'looks']","[tensor(0.9569), tensor(0.0093), tensor(0.0068), tensor(0.0036), tensor(0.0025)]",1,0,1,1
The dancers who are on the stage [MASK] charismatic.,are,is,0,1,prep./adj,correct,1,tensor(0.9431),tensor(0.0105),are,"['are', 'look', 'is', 'were', 'appear']","[tensor(0.9431), tensor(0.0113), tensor(0.0105), tensor(0.0079), tensor(0.0038)]",1,0,1,1
The fish which swims throught the gates [MASK] beautiful.,is,are,1,0,v/adj,correct,1,tensor(0.8395),tensor(0.0583),is,"['is', 'are', 'was', 'were', 'looks']","[tensor(0.8395), tensor(0.0583), tensor(0.0548), tensor(0.0082), tensor(0.0068)]",1,0,1,1
The fish which swim throught the gate [MASK] beautiful.,are,is,0,1,v/adj,correct,1,tensor(0.5600),tensor(0.3221),are,"['are', 'is', 'were', 'was', 'look']","[tensor(0.5600), tensor(0.3221), tensor(0.0466), tensor(0.0276), tensor(0.0087)]",1,0,1,1
The actress who is interviewed by reporters [MASK] confident.,is,are,1,0,p.p./ving,correct,1,tensor(0.6652),tensor(0.0017),is,"['is', 'feels', 'was', 'seems', 'becomes']","[tensor(0.6652), tensor(0.0945), tensor(0.0504), tensor(0.0369), tensor(0.0361)]",1,0,1,0
The actresses who are interviewed by the reporter [MASK] confident.,are,is,0,1,p.p./ving,correct,1,tensor(0.6540),tensor(0.0127),are,"['are', 'feel', 'look', 'seem', 'remain']","[tensor(0.6540), tensor(0.0897), tensor(0.0419), tensor(0.0404), tensor(0.0263)]",1,0,1,0
The child who is in laboratories [MASK] enthusiastic.,is,are,1,0,prep./ving,correct,1,tensor(0.8126),tensor(0.0017),is,"['is', 'becomes', 'was', 'gets', 'seems']","[tensor(0.8126), tensor(0.0566), tensor(0.0322), tensor(0.0316), tensor(0.0130)]",1,0,1,0
The children who are in laboratory [MASK] enthusiastic.,are,is,0,1,prep./ving,correct,1,tensor(0.8813),tensor(0.0118),are,"['are', 'become', 'get', 'were', 'is']","[tensor(0.8813), tensor(0.0284), tensor(0.0186), tensor(0.0148), tensor(0.0118)]",1,0,1,1
The nurse who helps with newborns [MASK] joyful.,is,are,1,0,v/ving,correct,1,tensor(0.9196),tensor(0.0041),is,"['is', 'was', 'becomes', 'seems', 'feels']","[tensor(0.9196), tensor(0.0210), tensor(0.0152), tensor(0.0074), tensor(0.0059)]",1,0,1,0
The nurses who help with the newborn [MASK] joyful.,are,is,0,1,v/ving,correct,1,tensor(0.8779),tensor(0.0116),are,"['are', 'were', 'feel', 'is', 'become']","[tensor(0.8779), tensor(0.0339), tensor(0.0217), tensor(0.0116), tensor(0.0099)]",1,0,1,1
The woman who is at parks [MASK] surrounded by birds.,is,are,1,0,prep./p.p.,correct,1,tensor(0.8707),tensor(0.0039),is,"['is', ',', 'was', 'and', 'gets']","[tensor(0.8707), tensor(0.0447), tensor(0.0190), tensor(0.0187), tensor(0.0077)]",1,0,1,0
The women who are at the park [MASK] surrounded by birds.,are,is,0,1,prep./p.p.,correct,1,tensor(0.9441),tensor(0.0044),are,"['are', 'were', 'is', 'get', ',']","[tensor(0.9441), tensor(0.0277), tensor(0.0044), tensor(0.0030), tensor(0.0022)]",1,0,1,1
The Japanese who witnesses the crimes [MASK] taken two lawyers to provide statements.,is,are,1,0,v/p.p.,correct,1,tensor(0.0006),tensor(0.0002),has,"['has', 'have', 'had', 'also', 'is']","[tensor(0.7267), tensor(0.1789), tensor(0.0909), tensor(0.0006), tensor(0.0006)]",0,0,1,0
The Japanese who witness a crime [MASK] taken by a lawyer to provide a statement.,are,is,0,1,v/p.p.,correct,1,tensor(0.7233),tensor(0.2616),are,"['are', 'is', 'were', 'was', 'be']","[tensor(0.7233), tensor(0.2616), tensor(0.0066), tensor(0.0045), tensor(0.0007)]",1,0,1,1
The celebrity who adopts puppies [MASK] on the news.,is,are,1,0,v/prep.,correct,1,tensor(0.4408),tensor(0.0030),is,"['is', 'appears', 'goes', 'was', 'lives']","[tensor(0.4408), tensor(0.2239), tensor(0.0640), tensor(0.0257), tensor(0.0211)]",1,0,1,0
The celebrities who adopt a puppy [MASK] on the news.,are,is,0,1,v/prep.,correct,1,tensor(0.5075),tensor(0.0061),are,"['are', 'were', 'appear', 'live', 'go']","[tensor(0.5075), tensor(0.0917), tensor(0.0764), tensor(0.0672), tensor(0.0261)]",1,0,1,0
